timestamp,side,entry_price,exit_price,size,profit_loss,win_loss,usdt_balance,sol_balance,exit_type,sl_distance,tp_distance,macd_at_entry,signal_at_entry,hist_at_entry,atr_at_entry,candles_held
2024-08-31 06:00:00,sell,137.465521875,137.2218654628125,0.0108,-0.005262978503250111,Loss,9.232184431111568,-1.734723475976807e-18,Stop Loss,0.0032004464285932954,0.7880495535714545,-0.1634398545858744,-0.060958023346419615,-0.10248183123945478,0.15071428571429482,0
2024-08-31 10:15:00,sell,135.9359055225,137.15466179625,0.0136,0.0331501706459997,Win,9.245509959990246,0.0,Take Profit,0.03715552250000087,1.4590944775000025,-0.379962869790603,-0.22627160554688802,-0.153691264243715,0.28500000000000064,16
2024-09-01 02:25:00,sell,133.02663520500002,132.74346303562498,0.0139,-0.00787218630862598,Loss,9.238339095083287,0.0,Stop Loss,0.050563776428589335,1.7119362235714277,-0.5150144651452138,-0.3639571724341611,-0.15105729271105267,0.33571428571428896,3
2024-09-01 05:40:00,sell,131.65697873250002,131.36748133218748,0.014,-0.008105927208751154,Loss,9.231061730179922,0.0,Stop Loss,0.0593001610714623,1.8794498389285366,-0.4699683618028416,-0.27028815399131584,-0.1996802078115258,0.3692857142857114,0
2024-09-03 13:40:00,sell,132.1968433275,131.882828281875,0.014,-0.008792421277500352,Loss,9.223428141429213,0.0,Stop Loss,0.08291475607143184,2.3545852439285397,-0.39325813607257487,-0.07495651415168522,-0.3183016219208896,0.46428571428571225,0
2024-09-03 13:45:00,sell,131.8169386125,131.4968974115625,0.014,-0.00896115362625028,Loss,9.215719562768268,0.0,Stop Loss,0.0896171839285671,2.4866328160714204,-0.5115826716986192,-0.162281745661072,-0.34930092603754714,0.490714285714284,0
2024-09-03 14:15:00,sell,130.62723700499998,130.28723141343747,0.0141,-0.00958815768206295,Loss,9.207704008725539,0.0,Stop Loss,0.11170129071427937,2.9220487092857184,-0.9344280716497337,-0.6048513058741106,-0.3295767657756231,0.5778571428571411,1
2024-09-06 14:30:00,sell,128.9776507425,128.55526636218747,0.0143,-0.012080193276938536,Loss,9.198438930223086,0.0,Stop Loss,0.19711502821431282,4.62163497178571,-0.5788776899760819,-0.11029400318205833,-0.46858368679402357,0.9178571428571445,1
2024-09-13 11:55:00,sell,132.546755565,132.282128581875,0.0139,-0.007356630130874947,Loss,9.191537329820681,0.0,Stop Loss,0.03282699357143315,1.354673006428584,-0.25802081857591475,-0.14159284037434655,-0.1164279782015682,0.2642857142857155,0
2024-09-13 12:05:00,sell,132.4767731175,132.21242928843748,0.0139,-0.007348758447937814,Loss,7.71356588585463,0.011100000000000002,Stop Loss,0.03266597464286747,1.351084025357153,-0.30097583034890363,-0.173469438369258,-0.12750639197964564,0.26357142857143046,1
2024-09-13 12:20:00,sell,132.3967931775,132.1325692284375,0.0111,-0.005865771669187757,Loss,9.17913740065146,0.0,Stop Loss,0.03268603464286457,1.351063965357156,-0.337581884241132,-0.20629192754363282,-0.13128995669749918,0.26357142857143046,3
2024-09-14 18:05:00,sell,135.72595818,135.46084418437496,0.0135,-0.007158077881875784,Loss,9.172352686093156,0.0,Stop Loss,0.027743894285720216,1.2697561057142934,-0.23256594798741048,-0.13718888531306134,-0.09537706267434914,0.24714285714285772,0
